흑미밥
꽃게된장국
갈치구이
흑미미트볼케찹조림
비름나물무침
열무김치
750kcal
백미밥
콩나물김치찌개
돈육찹스테이크
참치야채스크램블
청포묵무침
깍두기
852kcal
현미밥
고추장찌개
타워함박스테이크
양파링&감튀
오복채무침
깍두기
961kcal
수수밥
등뼈감자탕
가자미카레구이
골뱅이소면무침
뿌리채소볶음
깍두기
685kcal
보리밥
순두부찌개
너비아니파채무침
계란말이*케찹
우엉조림
깍두기
690kcal
