강황밥
산채해장국
케이준치킨샐러드*머스타드
연두부*간장
도시락김
오이소박이
683kcal
보리밥
참치김치찌개
궁중떡볶이
돈육김말이강정
고사리들깨무침
포기김치
749kcal
현미밥
쇠고기무국
오징어야채떡볶음
삼색계란찜
오이미역냉채
배추겉절이
626kcal
백미밥
맑은순두부국
제육볶음
쭈야가마보꼬스틱*머스타드
크랜베리멸치조림
포기김치
789kcal
베이컨야채볶음밥
가츠오장국
새우까스*사우전드D 
쫄면야채무침
삼색겨자냉채
깍두기
830kcal
