백미밥
맑은순두부국
제육볶음
쭈야가마보꼬스틱*머스타드
크랜베리멸치조림
포기김치
680kcal
베이컨야채볶음밥
가츠오장국
새우까스*사우전드D 
쫄면야채무침
삼색겨자냉채
깍두기
735kcal
김밥맛볶음밥
꼬지어묵국
야채샐러드빵
곤약메추리알조림
사과
포기김치
650kcal
김치참치볶음밥
막국수(냉)
떡갈비
어묵볶음
배추김치
메론아이스크림
732kcal
토마토스파게티
크림스프
닭가슴살샐러드
모닝빵*딸기잼
그린샐러드*요거트D 
오이피클/포기김치
986kcal
완두콩밥
나가사키짬뽕국
난자완스
짬뽕찜만두
미니새송이버섯볶음
깍두기
997kcal
카레라이스
두부된장국
치킨너겟*머스타드
햄김치볶음
깍두기
야쿠르트
873kcal
