참치야채비빔밥
유부된장국
피자치즈롤까스
부들어묵볶음
해초무침
깍두기
700kcal
보리밥
호박두부고추장국
불고기전골
비엔나야채떡볶음
꽈배기
깍두기
700kcal
백미밥
콩비지찌개
닭데리야끼볶음
콘치즈감자찜
얼갈이된장무침
총각김치
700kcal
추억의도시락
유부된장국
또띠아피자
단무지
깍두기
과일음료
765kcal
옥수수밥
애호박된장찌개
로제소스닭갈비
깐풍만두
브로콜리초무침
포기김치
738kcal
보리밥
감자오그랑떡국
신의주순대떡볶음
메밀김치전병
석박지
초코케익
890kcal
김가루주먹밥
배추된장국
보쌈*상추
스틱채소*쌈장
실곤약야채무침
배추겉절이
900kcal
흑미밥
꽃게된장국
갈치구이
흑미미트볼케찹조림
비름나물무침
열무김치
750kcal
백미밥
콩나물김치찌개
돈육찹스테이크
참치야채스크램블
청포묵무침
깍두기
852kcal
현미밥
고추장찌개
타워함박스테이크
양파링&감튀
오복채무침
깍두기
961kcal
수수밥
등뼈감자탕
가자미카레구이
골뱅이소면무침
뿌리채소볶음
깍두기
685kcal
보리밥
순두부찌개
너비아니파채무침
계란말이*케찹
우엉조림
깍두기
690kcal
베이컨야채볶음밥
가츠오장국
새우까스*사우전드D 
쫄면야채무침
삼색겨자냉채
깍두기
905kcal
김밥맛볶음밥
꼬지어묵국
야채샐러드빵
곤약메추리알조림
사과
포기김치
635kcal
김치참치볶음밥
막국수(냉)
떡갈비
어묵볶음
배추김치
메론아이스크림
978kcal
토마토스파게티
크림스프
닭가슴살샐러드
모닝빵*딸기잼
그린샐러드*요거트D 
오이피클/포기김치
1065kcal
백미밥
맑은순두부국
제육볶음
쭈야가마보꼬스틱*머스타드
크랜베리멸치조림
포기김치
753kcal
베이컨야채볶음밥
가츠오장국
새우까스*사우전드D 
쫄면야채무침
삼색겨자냉채
깍두기
835kcal
김밥맛볶음밥
꼬지어묵국
야채샐러드빵
곤약메추리알조림
사과
포기김치
660kcal
김치참치볶음밥
막국수(냉)
떡갈비
어묵볶음
배추김치
메론아이스크림
925kcal
토마토스파게티
크림스프
닭가슴살샐러드
모닝빵*딸기잼
그린샐러드*요거트D 
오이피클/포기김치
935kcal
백미밥
맑은순두부국
제육볶음
쭈야가마보꼬스틱*머스타드
크랜베리멸치조림
포기김치
680kcal
베이컨야채볶음밥
가츠오장국
새우까스*사우전드D 
쫄면야채무침
삼색겨자냉채
깍두기
735kcal
김밥맛볶음밥
꼬지어묵국
야채샐러드빵
곤약메추리알조림
사과
포기김치
650kcal
김치참치볶음밥
막국수(냉)
떡갈비
어묵볶음
배추김치
메론아이스크림
732kcal
토마토스파게티
크림스프
닭가슴살샐러드
모닝빵*딸기잼
그린샐러드*요거트D 
오이피클/포기김치
986kcal
완두콩밥
나가사키짬뽕국
난자완스
짬뽕찜만두
미니새송이버섯볶음
깍두기
997kcal
카레라이스
두부된장국
치킨너겟*머스타드
햄김치볶음
깍두기
야쿠르트
873kcal
강황밥
산채해장국
케이준치킨샐러드*머스타드
연두부*간장
도시락김
오이소박이
683kcal
보리밥
참치김치찌개
궁중떡볶이
돈육김말이강정
고사리들깨무침
포기김치
749kcal
현미밥
쇠고기무국
오징어야채떡볶음
삼색계란찜
오이미역냉채
배추겉절이
626kcal
백미밥
맑은순두부국
제육볶음
쭈야가마보꼬스틱*머스타드
크랜베리멸치조림
포기김치
789kcal
베이컨야채볶음밥
가츠오장국
새우까스*사우전드D 
쫄면야채무침
삼색겨자냉채
깍두기
830kcal
김밥맛볶음밥
꼬지어묵국
야채샐러드빵
곤약메추리알조림
사과
포기김치
920kcal
김치참치볶음밥
막국수(냉)
떡갈비
어묵볶음
배추김치
메론아이스크림
1065kcal
토마토스파게티
크림스프
닭가슴살샐러드
모닝빵*딸기잼
그린샐러드*요거트D 
오이피클/포기김치
989kcal
완두콩밥
나가사키짬뽕국
난자완스
짬뽕찜만두
미니새송이버섯볶음
깍두기
896kcal
카레라이스
두부된장국
치킨너겟*머스타드
햄김치볶음
깍두기
야쿠르트
988kcal
강황밥
산채해장국
케이준치킨샐러드*머스타드
연두부*간장
도시락김
오이소박이
786kcal
