참치야채비빔밥
유부된장국
피자치즈롤까스
부들어묵볶음
해초무침
깍두기
700kcal
보리밥
호박두부고추장국
불고기전골
비엔나야채떡볶음
꽈배기
깍두기
700kcal
백미밥
콩비지찌개
닭데리야끼볶음
콘치즈감자찜
얼갈이된장무침
총각김치
700kcal
추억의도시락
유부된장국
또띠아피자
단무지
깍두기
과일음료
765kcal
옥수수밥
애호박된장찌개
로제소스닭갈비
깐풍만두
브로콜리초무침
포기김치
738kcal
보리밥
감자오그랑떡국
신의주순대떡볶음
메밀김치전병
석박지
초코케익
890kcal
김가루주먹밥
배추된장국
보쌈*상추
스틱채소*쌈장
실곤약야채무침
배추겉절이
900kcal
